"UF","COD. UF","COD. MUNIC","NOME DO MUNICÍPIO","POPULAÇÃO ESTIMADA"
"BA",29,"11907","Iaçu",25884
"ES",32,"02454","Ibatiba",25882
"MG",31,"36652","Juatuba",25874
"RS",43,"06908","Encruzilhada do Sul",25872
"MG",31,"62401","São João da Ponte",25856
"PE",26,"11507","Quipapá",25831
"SP",35,"37404","Pereira Barreto",25790
"PE",26,"07604","Ilha de Itamaracá",25789
"BA",29,"32002","Uauá",25773
"MS",50,"05004","Jardim",25758
"SP",35,"53401","Tanabi",25723
"MG",31,"01102","Aimorés",25711
"PR",41,"14302","Mandirituba",25662
"SP",35,"09403","Cajuru",25655
"BA",29,"18357","João Dourado",25646
"TO",17,"09302","Guaraí",25642
"SP",35,"46702","Santa Gertrudes",25637
"SP",35,"56305","Valparaíso",25632
"MA",21,"05427","Itinga do Maranhão",25589
"AL",27,"05002","Mata Grande",25589
"MG",31,"35803","Jequitinhonha",25560
"RS",43,"13300","Nova Prata",25559
"MG",31,"69604","Tupaciguara",25538
"BA",29,"14406","Iraquara",25536
"MA",21,"12456","Turilândia",25533
"CE",23,"13203","Tamboril",25525
"MA",21,"11102","São João dos Patos",25520
"MG",31,"62005","São Gonçalo do Sapucaí",25517
"AP",16,"00501","Oiapoque",25514
"RS",43,"04663","Capão do Leão",25495
"BA",29,"22904","Nova Soure",25460
"MG",31,"34905","Jacutinga",25453
"RO",11,"00015","Alta Floresta D'Oeste",25437
"PR",41,"03602","Cambará",25401
"CE",23,"09458","Ocara",25394
"PR",41,"19954","Pontal do Paraná",25393
"MG",31,"13206","Carandaí",25376
"PE",26,"14808","Tacaratu",25368
"PA",15,"03077","Garrafão do Norte",25363
"MA",21,"10104","Santa Quitéria do Maranhão",25334
"AL",27,"07107","Piranhas",25298
"PE",26,"08750","Lagoa Grande",25294
"PR",41,"19400","Piraí do Sul",25277
"RO",11,"00809","Candeias do Jamari",25266
"PE",26,"09006","Macaparana",25214
"BA",29,"24801","Piritiba",25211
"SE",28,"07600","Umbaúba",25114
"AM",13,"03304","Novo Aripuanã",25112
"MG",31,"29509","Ibiá",25100
"AL",27,"04005","Junqueiro",25093
"PI",22,"05805","Luzilândia",25082
"SC",42,"10506","Maravilha",25076
"RS",43,"22806","Veranópolis",25073
"MS",50,"01003","Aparecida do Taboado",25072
"PA",15,"05031","Novo Progresso",25071
"CE",23,"03808","Cedro",25063
"AL",27,"05101","Matriz de Camaragibe",25012
"MA",21,"08256","Pedro do Rosário",25000
"MA",21,"04677","Governador Nunes Freire",24991
"SP",35,"38907","Pirajuí",24973
"RS",43,"19505","São Sebastião do Caí",24967
"MS",50,"00708","Anastácio",24954
"MA",21,"10039","Santa Luzia do Paruá",24946
"SP",35,"02705","Apiaí",24945
"BA",29,"15809","Itambé",24901
"GO",52,"17104","Piracanjuba",24885
"RJ",33,"02908","Miguel Pereira",24871
"PA",15,"07151","São Domingos do Araguaia",24859
"PB",25,"07002","Itaporanga",24842
"RS",43,"09407","Guaporé",24836
"MT",51,"08600","Vila Rica",24835
"CE",23,"05308","Ibiapina",24825
"SP",35,"01301","Álvares Machado",24813
"MG",31,"24203","Espera Feliz",24805
"AL",27,"03205","Igreja Nova",24793
"AL",27,"06406","Pão de Açúcar",24792
"MG",31,"30903","Inhapim",24792
"PB",25,"04603","Conde",24769
"AC",12,"00104","Brasiléia",24765
"PE",26,"03702","Canhotinho",24762
"GO",52,"17302","Pirenópolis",24761
"MG",31,"48707","Pedra Azul",24748
"PI",22,"01903","Bom Jesus",24711
"MG",31,"09303","Buritis",24689
"PA",15,"07904","Soure",24682
"PE",26,"00302","Agrestina",24644
"SP",35,"02200","Angatuba",24634
"RS",43,"21907","Três Passos",24632
"SC",42,"08500","Ituporanga",24622
"CE",23,"07403","Jucás",24597
"SP",35,"20004","Igaraçu do Tietê",24596
"ES",32,"05069","Venda Nova do Imigrante",24575
"AL",27,"02355","Craíbas",24510
"MT",51,"00201","Água Boa",24501
"RS",43,"21808","Três de Maio",24497
"CE",23,"01703","Aurora",24496
"PB",25,"06905","Itabaiana",24475
"MG",31,"47402","Paraopeba",24427
"RS",43,"19604","São Sepé",24403
"SP",35,"31407","Monte Aprazível",24393
"MG",31,"19104","Corinto",24384
"MG",31,"54002","Raul Soares",24368
"MS",50,"02100","Bela Vista",24331
"BA",29,"18803","Laje",24306
"MT",51,"07875","Sapezal",24305
"SC",42,"03956","Capivari de Baixo",24298
"BA",29,"12707","Ibirapitanga",24293
"RJ",33,"03955","Pinheiral",24282
"AL",27,"03809","Joaquim Gomes",24280
"AL",27,"08303","São José da Laje",24226
"RN",24,"11502","Santo Antônio",24220
"ES",32,"02108","Ecoporanga",24217
"PA",15,"07458","São Geraldo do Araguaia",24188
"PA",15,"06609","Santa Maria do Pará",24186
"RO",11,"00320","São Miguel do Guaporé",24181
"PB",25,"12903","Rio Tinto",24154
"GO",52,"08905","Goiás",24103
"SP",35,"07803","Brodowski",24092
"CE",23,"04350","Forquilha",24047
"ES",32,"04609","Santa Teresa",24025
"SP",35,"07100","Bom Jesus dos Perdões",24023
"MG",31,"05103","Bambuí",24018
"BA",29,"03409","Belmonte",24013
"GO",52,"03500","Bom Jesus de Goiás",23998
"CE",23,"04251","Cruz",23983
"PE",26,"05004","Cupira",23977
"PR",41,"05904","Colorado",23941
"MS",50,"02951","Chapadão do Sul",23940
"BA",29,"08903","Coração de Maria",23896
"MS",50,"07109","Ribas do Rio Pardo",23881
"CE",23,"06108","Irauçuba",23858
"SP",35,"07902","Brotas",23858
"BA",29,"05008","Caculé",23817
"MA",21,"02804","Carolina",23803
"SP",35,"12407","Cordeirópolis",23793
"MG",31,"13008","Caraí",23781
"PE",26,"09709","Orobó",23768
"AM",13,"03601","Santa Isabel do Rio Negro",23765
"RS",43,"18408","São Jerônimo",23763
"MA",21,"09007","Porto Franco",23760
"SE",28,"05505","Poço Verde",23740
"MG",31,"62708","São João do Paraíso",23729
"BA",29,"30774","Sobradinho",23713
"RS",43,"22202","Tupanciretã",23705
"SC",42,"16909","São Lourenço do Oeste",23698
"ES",32,"04005","Pancas",23697
"MG",31,"32701","Itambacuri",23637
"MG",31,"00203","Abaeté",23611
"RN",24,"12500","São Miguel",23610
"BA",29,"21104","Medeiros Neto",23586
"MA",21,"02903","Carutapera",23576
"BA",29,"25956","Rafael Jambeiro",23562
"MS",50,"04502","Itaporã",23539
"RJ",33,"04151","Quissamã",23535
"RS",43,"15305","Quaraí",23532
"BA",29,"12103","Ibicaraí",23529
"MA",21,"02309","Buriti Bravo",23495
"PB",25,"12309","Princesa Isabel",23489
"MG",31,"43401","Monte Sião",23444
"RS",43,"20107","Sarandi",23398
"PE",26,"11903","Rio Formoso",23379
"BA",29,"31509","Teofilândia",23378
"BA",29,"00801","Alcobaça",23376
"SP",35,"40754","Potim",23360
"BA",29,"26202","Riachão das Neves",23313
"SP",35,"53302","Tambaú",23267
"SP",35,"21408","Iracemápolis",23264
"CE",23,"01604","Assaré",23254
"MG",31,"18403","Conselheiro Pena",23240
"SP",35,"53807","Taquarituba",23240
"PR",41,"17305","Ortigueira",23200
"TO",17,"21208","Tocantinópolis",23119
"PA",15,"02004","Cachoeira do Arari",23110
"CE",23,"04004","Coreaú",23107
"PE",26,"14857","Tamandaré",23100
"PA",15,"06302","Salvaterra",23096
"MA",21,"06508","Matinha",23091
"AM",13,"03700","Santo Antônio do Içá",23075
"PA",15,"02509","Chaves",23066
"MA",21,"05500","João Lisboa",23042
"BA",29,"08200","Conceição da Feira",23024
"MS",50,"04700","Ivinhema",23021
"MA",21,"08454","Peritoró",23019
"BA",29,"20502","Maracás",23018
"BA",29,"22409","Mutuípe",22998
"PR",41,"24053","Santa Terezinha de Itaipu",22992
"SP",35,"54300","Teodoro Sampaio",22914
"MA",21,"03802","Dom Pedro",22912
"MG",31,"62955","São José da Lapa",22910
"PR",41,"13502","Loanda",22903
"PE",26,"00807","Altinho",22896
"BA",29,"16104","Itaparica",22866
"BA",29,"23209","Oliveira dos Brejinhos",22805
"PE",26,"07000","Inajá",22801
"SP",35,"48005","Santo Antônio de Posse",22801
"MG",31,"39508","Manhumirim",22784
"PB",25,"01104","Areia",22776
"BA",29,"06907","Caravelas",22740
"SC",42,"06306","Guabiruba",22732
"PE",26,"00906","Amaraji",22726
"SC",42,"11702","Orleans",22723
"RJ",33,"02106","Itaocara",22694
"GO",52,"20207","São Miguel do Araguaia",22684
"PR",41,"20804","Quatro Barras",22651
"PE",26,"13206","São João",22628
"SC",42,"15703","Santo Amaro da Imperatriz",22609
"MS",50,"05202","Ladário",22590
"PE",26,"05608","Flores",22567
"BA",29,"23407","Palmas de Monte Alto",22553
"SC",42,"03907","Capinzal",22524
"RS",43,"10801","Ivoti",22514
"PE",26,"10806","Pedra",22505
"AL",27,"02603","Feira Grande",22481
"BA",29,"04100","Boquira",22464
"RN",24,"07807","Monte Alegre",22462
"RJ",33,"01405","Conceição de Macabu",22461
"RO",11,"00940","Cujubim",22443
"SC",42,"06702","Herval d'Oeste",22443
"CE",23,"02008","Barro",22440
"PA",15,"07474","São João de Pirabas",22415
"MS",50,"01904","Bataguassu",22389
"BA",29,"33505","Wenceslau Guimarães",22365
"CE",23,"03006","Caridade",22320
"BA",29,"23605","Paramirim",22286
"PR",41,"04659","Carambeí",22282
"CE",23,"08906","Morrinhos",22222
"MG",31,"15508","Caxambu",22208
"SP",35,"35309","Palmital",22196
"PR",41,"14104","Mandaguaçu",22164
"MG",31,"33501","Itapecerica",22158
"GO",52,"05406","Ceres",22155
"BA",29,"11808","Guaratinga",22154
"AM",13,"04401","Urucurituba",22148
"MG",31,"14204","Carmo do Cajuru",22136
"RS",43,"06809","Encantado",22128
"RO",11,"00254","Presidente Médici",22124
"BA",29,"02807","Barra da Estiva",22082
"SC",42,"05704","Garopaba",22082
"RS",43,"20909","Tapejara",22077
"GO",52,"00134","Acreúna",22076
"MG",31,"10509","Camanducaia",22057
"PR",41,"00509","Altônia",21988
"SP",35,"29708","Miguelópolis",21973
"BA",29,"29107","São Felipe",21964
"PE",26,"05400","Feira Nova",21958
"MG",31,"43203","Monte Santo de Minas",21949
"SP",35,"13603","Cunha",21929
"AL",27,"02108","Colônia Leopoldina",21926
"SC",42,"12809","Balneário Piçarras",21884
"CE",23,"11504","Quixeré",21876
"PB",25,"03001","Caaporã",21872
"PB",25,"09107","Mari",21854
"SE",28,"01405","Carira",21842
"BA",29,"09604","Crisópolis",21835
"BA",29,"04753","Buritirama",21786
"MG",31,"42908","Monte Azul",21783
"AL",27,"05705","Olho d'Água das Flores",21767
"PR",41,"28005","Ubiratã",21762
"MA",21,"02705","Cantanhede",21759
"MA",21,"12233","Trizidela do Vale",21749
"MS",50,"02902","Cassilândia",21748
"RO",11,"00148","Nova Brasilândia D'Oeste",21747
"GO",52,"01306","Anicuns",21746
"TO",17,"07009","Dianópolis",21738
"BA",29,"32705","Uruçuca",21711
"GO",52,"10901","Itapaci",21691
"RS",43,"18200","São Francisco de Paula",21679
"SP",35,"40002","Pompéia",21674
"MA",21,"00204","Alcântara",21673
"RN",24,"08904","Parelhas",21669
"PR",41,"06506","Coronel Vivida",21666
"BA",29,"15502","Itajuípe",21642
"MT",51,"06307","Paranatinga",21612
"CE",23,"13807","Uruburetama",21609
"SE",28,"00209","Aquidabã",21589
"ES",32,"05036","Vargem Alta",21584
"MG",31,"47204","Paraguaçu",21583
"MA",21,"03174","Centro Novo do Maranhão",21565
"MG",31,"33303","Itaobim",21559
"AC",12,"00450","Senador Guiomard",21552
"AL",27,"01308","Cajueiro",21526
"PE",26,"04502","Chã Grande",21525
"SC",42,"08104","Itaiópolis",21506
"BA",29,"11600","Governador Mangabeira",21495
"MS",50,"02209","Bonito",21483
"BA",29,"31202","Taperoá",21462
"SP",35,"27405","Lucélia",21461
"MG",31,"14402","Carmo do Rio Claro",21458
"MG",31,"49903","Perdões",21444
"MG",31,"11002","Campestre",21440
"MG",31,"67103","Serro",21435
"BA",29,"27507","Santa Bárbara",21415
"MG",31,"41405","Medina",21409
"AM",13,"00144","Apuí",21406
"BA",29,"02609","Baixa Grande",21403
"CE",23,"01307","Araripe",21398
"PE",26,"10400","Parnamirim",21383
"RS",43,"19000","São Marcos",21364
"MT",51,"01407","Aripuanã",21357
"PR",41,"12108","Jandaia do Sul",21341
"PE",26,"08503","Lagoa de Itaenga",21338
"ES",32,"04203","Piúma",21336
"BA",29,"32507","Una",21331
"BA",29,"31004","Tanhaçu",21315
"BA",29,"20700","Maraú",21313
"MT",51,"03502","Diamantino",21294
"MA",21,"06326","Maracaçumé",21293
"CE",23,"09508","Orós",21292
"PE",26,"13305","São Joaquim do Monte",21257
"RJ",33,"05604","Silva Jardim",21253
"RJ",33,"01504","Cordeiro",21250
"RS",43,"02709","Butiá",21247
"BA",29,"17102","Itororó",21241
"PR",41,"06605","Cruzeiro do Oeste",21237
"PI",22,"11209","Uruçuí",21188
"SC",42,"19002","Urussanga",21177
"BA",29,"24603","Pindobaçu",21171
"PB",25,"01500","Bananeiras",21156
"MA",21,"07704","Paraibano",21116
"RJ",33,"05158","São José do Vale do Rio Preto",21114
"MG",31,"42809","Monte Alegre de Minas",21095
"SP",35,"17703","Guará",21081
"SP",35,"05807","Bastos",21073
"SP",35,"33007","Nova Granada",21071
"PE",26,"09154","Manari",21047
"SP",35,"02754","Araçariguama",21038
"SP",35,"47700","Santo Anastácio",21030
"MG",31,"44102","Muzambinho",21026
"BA",29,"19926","Madre de Deus",21007
"MG",31,"47303","Paraisópolis",20983
"CE",23,"01950","Barreira",20978
"PE",26,"13404","São José da Coroa Grande",20963
"RS",43,"16006","Rolante",20920
"RO",11,"00403","Alto Paraíso",20916
"MA",21,"11706","São Vicente Ferrer",20913
"AM",13,"03007","Nhamundá",20902
"MG",31,"05905","Barroso",20882
"MA",21,"01905","Bequimão",20881
"MG",31,"37809","Lambari",20870
"MA",21,"08702","Pio XII",20861
"CE",23,"11264","Quiterianópolis",20860
"MS",50,"08008","Terenos",20855
"PA",15,"06583","Santa Maria das Barreiras",20849
"PI",22,"02307","Canto do Buriti",20831
"RR",14,"00209","Caracaraí",20807
"BA",29,"32101","Ubaíra",20800
"RS",43,"14605","Piratini",20799
"PA",15,"04950","Nova Esperança do Piriá",20789
"MG",31,"71006","Vazante",20784
"MS",50,"06002","Nova Alvorada do Sul",20772
"PR",41,"01101","Andirá",20769
"MA",21,"07357","Nova Olinda do Maranhão",20768
"ES",32,"02207","Fundão",20757
"RN",24,"02303","Caraúbas",20707
"MT",51,"02702","Canarana",20707
"PB",25,"00403","Alagoa Nova",20689
"CE",23,"06603","Itatira",20675
"RS",43,"13201","Nova Petrópolis",20675
"PE",26,"01607","Belém do São Francisco",20670
"MA",21,"08108","Paulo Ramos",20657
"CE",23,"10852","Pindoretama",20644
"MT",51,"06257","Nova Xavantina",20639
"SP",35,"17505","Guapiaçu",20637
"MS",50,"04601","Itaquiraí",20637
"MA",21,"06706","Mirador",20613
"AP",16,"00535","Porto Grande",20611
"PI",22,"11308","Valença do Piauí",20588
"RS",43,"10330","Imbé",20578
"PR",41,"27502","Tibagi",20562
"SP",35,"40903","Pradópolis",20516
"PR",41,"26603","Siqueira Campos",20508
"BA",29,"16005","Itanhém",20501
"PA",15,"06351","Santa Bárbara do Pará",20492
"BA",29,"32200","Ubaitaba",20489
"GO",52,"20603","Silvânia",20478
"GO",52,"09705","Hidrolândia",20472
"AL",27,"00102","Água Branca",20467
"PE",26,"16209","Vertentes",20460
"CE",23,"03600","Catarina",20451
"BA",29,"29701","Sátiro Dias",20429
"PB",25,"01005","Araruna",20418
"RS",43,"13060","Nova Hartz",20405
"PE",26,"11705","Riacho das Almas",20392
"AP",16,"00402","Mazagão",20387
"SP",35,"11003","Castilho",20362
"RS",43,"10009","Ibirubá",20355
"SP",35,"26001","Junqueirópolis",20353
"PB",25,"05105","Cuité",20348
"AL",27,"07503","Porto Real do Colégio",20327
"BA",29,"16807","Itarantim",20314
"MA",21,"11003","São João Batista",20307
"MG",31,"37700","Lajinha",20301
"SC",42,"13500","Porto Belo",20294
"SP",35,"29906","Miracatu",20288
"RS",43,"01008","Arroio do Meio",20272
"PE",26,"01052","Araçoiaba",20268
"PI",22,"10003","São João do Piauí",20258
"CE",23,"05209","Hidrolândia",20215
"PE",26,"03108","Cachoeirinha",20209
"AL",27,"09103","Taquarana",20205
"AL",27,"04401","Major Isidoro",20200
"AM",13,"00102","Anori",20196
"PI",22,"07801","Paulistana",20192
"BA",29,"00207","Abaré",20189
"MG",31,"46305","Padre Paraíso",20177
"SE",28,"06206","Salgado",20168
"PB",25,"14503","São José de Piranhas",20163
"MS",50,"03256","Costa Rica",20159
"SP",35,"23503","Itatinga",20158
"PR",41,"24400","Santo Antônio do Sudoeste",20158
"MG",31,"22009","Divino",20133
"SC",42,"17402","Schroeder",20095
"MG",31,"11101","Campina Verde",20079
"CE",23,"06504","Itapiúna",20014
"SE",28,"05802","Riachão do Dantas",20014
"RS",43,"11205","Júlio de Castilhos",20012
"SP",35,"10302","Capela do Alto",20005
"GO",52,"18904","Rubiataba",19994
"PE",26,"03801","Capoeiras",19991
"SP",35,"42404","Regente Feijó",19985
"MA",21,"02606","Cândido Mendes",19943
"MT",51,"03304","Comodoro",19932
"PR",41,"05409","Chopinzinho",19911
"GO",52,"01702","Aragarças",19884
"PR",41,"28500","Wenceslau Braz",19856
"MG",31,"01904","Alpinópolis",19846
"CE",23,"07635","Madalena",19800
"BA",29,"12202","Ibicoara",19786
"GO",52,"04904","Campos Belos",19786
"BA",29,"32804","Utinga",19780
"MA",21,"06300","Magalhães de Almeida",19779
"MG",31,"69703","Turmalina",19762
"MG",31,"13701","Carlos Chagas",19750
"PA",15,"03044","Floresta do Araguaia",19746
"SP",35,"08009","Buri",19737
"MG",31,"31208","Ipanema",19736
"SP",35,"35804","Paranapanema",19730
"MT",51,"07305","São José do Rio Claro",19728
"MG",31,"70909","Varzelândia",19723
"MA",21,"09502","Riachão",19701
"RJ",33,"01108","Cantagalo",19697
"GO",52,"20405","São Simão",19697
"BA",29,"20106","Mairi",19695
"RO",11,"01492","São Francisco do Guaporé",19694
"CE",23,"05357","Icapuí",19685
"CE",23,"13757","Umirim",19679
"AM",13,"01605","Fonte Boa",19669
"MG",31,"59803","Santa Vitória",19646
"MG",31,"67608","Simonésia",19633
"BA",29,"29255","São Gabriel",19613
"MG",31,"53400","Presidente Olegário",19599
"AM",13,"03502","Pauini",19597
"GO",52,"05513","Cocalzinho de Goiás",19583
"PB",25,"00601","Alhandra",19579
"PB",25,"12705","Remígio",19579
"BA",29,"17201","Ituaçu",19577
"BA",29,"01601","Antas",19569
"MS",50,"07406","Rio Verde de Mato Grosso",19569
"BA",29,"01205","Anagé",19568
"MG",31,"34608","Jaboticatubas",19545
"SP",35,"36208","Pariquera-Açu",19537
"SC",42,"08807","Jaguaruna",19527
"BA",29,"32457","Umburanas",19522
"SC",42,"12908","Pinhalzinho",19511
"CE",23,"07254","Jijoca de Jericoacoara",19510
"BA",29,"03805","Boa Vista do Tupim",19502
"BA",29,"08101","Cocos",19498
"SP",35,"15152","Engenheiro Coelho",19497
"SP",35,"11409","Cerqueira César",19495
"AM",13,"01506","Envira",19492
"MT",51,"06232","Nova Olímpia",19465
"PI",22,"02000","Buriti dos Lopes",19464
"ES",32,"04351","Rio Bananal",19457
"PR",41,"26306","Sengés",19443
"PE",26,"03900","Carnaíba",19440
"MA",21,"07605","Palmeirândia",19424
"PR",41,"01200","Antonina",19420
"MG",31,"00906","Águas Formosas",19416
"PE",26,"00203","Afrânio",19411
"PI",22,"02604","Castelo do Piauí",19410
"ES",32,"03502","Montanha",19391
"RS",43,"18101","São Francisco de Assis",19382
"MG",31,"28303","Guaranésia",19378
"BA",29,"10404","Encruzilhada",19376
"MG",31,"39300","Manga",19372
"PR",41,"04501","Capanema",19364
"SC",42,"08450","Itapoá",19355
"RS",43,"09605","Horizontina",19338
"PA",15,"06559","Santa Luzia do Pará",19316
"MG",31,"04908","Baependi",19315
"BA",29,"04852","Cabaceiras do Paraguaçu",19312
"MA",21,"07100","Morros",19282
"MA",21,"08009","Pastos Bons",19271
"BA",29,"04704","Buerarema",19256
"GO",52,"12204","Jussara",19239
"SP",35,"31506","Monte Azul Paulista",19234
"MA",21,"07407","Olho d'Água das Cunhãs",19206
"CE",23,"03956","Chorozinho",19197
"SP",35,"26100","Juquiá",19192
"PB",25,"11905","Pitimbu",19182
"MS",50,"03801","Fátima do Sul",19181
"MG",31,"39201","Malacacheta",19157
"PB",25,"01302","Aroeiras",19154
"SC",42,"18301","Três Barras",19146
"MA",21,"02507","Cajari",19110
"BA",29,"19702","Macarani",19110
"PE",26,"06507","Iati",19100
"PE",26,"14006","Serrita",19080
"TO",17,"13205","Miracema do Tocantins",19055
"MG",31,"08305","Borda da Mata",19055
"AM",13,"00201","Atalaia do Norte",19054
"MT",51,"03007","Chapada dos Guimarães",19049
"BA",29,"17805","Jaguaripe",19036
"SP",35,"08702","Caconde",19025
"BA",29,"08002","Coaraci",19022
"MG",31,"24005","Ervália",19015
"SC",42,"12205","Papanduva",19015
"BA",29,"05305","Cafarnaum",19006
"MA",21,"04099","Formosa da Serra Negra",18997
"MG",31,"14501","Carmópolis de Minas",18995
"AM",13,"00631","Beruri",18978
"SE",28,"04409","Neópolis",18953
"PB",25,"04405","Conceição",18944
"RS",43,"01305","Arroio Grande",18922
"MG",31,"40902","Matipó",18914
"PR",41,"06803","Cruz Machado",18907
"CE",23,"13351","Tejuçuoca",18902
"PR",41,"01002","Ampére",18886
"MA",21,"07902","Passagem Franca",18839
"RJ",33,"04110","Porto Real",18829
"CE",23,"03303","Cariús",18804
"MA",21,"09270","Presidente Sarney",18797
"AM",13,"04237","Tonantins",18782
"PI",22,"05201","Jaicós",18782
"GO",52,"00100","Abadiânia",18775
"CE",23,"11702","Reriutaba",18769
"AL",27,"00706","Batalha",18757
"ES",32,"03700","Muniz Freire",18745
"PB",25,"11400","Picuí",18737
"PR",41,"21208","Quitandinha",18733
"BA",29,"21401","Mirangaba",18729
"SC",42,"06900","Ibirama",18721
"CE",23,"04301","Farias Brito",18720
"PB",25,"07101","Itapororoca",18715
"PE",26,"05152","Dormentes",18692
"MT",51,"03379","Cotriguaçu",18689
"MT",51,"01902","Brasnorte",18688
"TO",17,"08205","Formoso do Araguaia",18684
"MA",21,"11607","São Raimundo das Mangabeiras",18680
"BA",29,"12400","Ibipeba",18678
"CE",23,"03105","Cariré",18660
"SE",28,"03302","Japaratuba",18656
"SP",35,"56800","Viradouro",18654
"AL",27,"03304","Inhapi",18652
"SE",28,"06008","Ribeirópolis",18641
"SC",42,"02453","Bombinhas",18623
"PB",25,"12002","Pocinhos",18622
"MA",21,"01509","Barão de Grajaú",18619
"AM",13,"03205","Novo Airão",18586
"PE",26,"03504","Camocim de São Félix",18583
"MG",31,"59902","Santo Antônio do Amparo",18553
"AM",13,"02801","Maraã",18531
"RN",24,"06106","Jucurutu",18530
"AC",12,"00385","Plácido de Castro",18510
"SP",35,"00501","Águas de Lindóia",18509
"GO",52,"04409","Caiapônia",18505
"SE",28,"00506","Areia Branca",18489
"AM",13,"00680","Boa Vista do Ramos",18483
"PA",15,"08050","Trairão",18469
"RO",11,"00064","Colorado do Oeste",18467
"MT",51,"07107","São José dos Quatro Marcos",18452
"BA",29,"10750","Fátima",18443
"MG",31,"32107","Itacarambi",18443
"AL",27,"02553","Estrela de Alagoas",18435
"MA",21,"08801","Pirapemas",18413
"MG",31,"38807","Luz",18400
"MS",50,"07935","Sonora",18393
"MT",51,"07800","Santo Antônio do Leverger",18392
"MA",21,"10401","São Benedito do Rio Preto",18377
"SP",35,"12001","Colina",18376
"MG",31,"31158","Ipaba",18375
"MA",21,"00832","Apicum-Açu",18374
"MA",21,"11078","São João do Soter",18345
"BA",29,"01908","Aporá",18334
"SP",35,"01152","Alumínio",18324
"BA",29,"30303","Serra Dourada",18320
"MA",21,"04552","Governador Edison Lobão",18316
"SC",42,"11751","Otacílio Costa",18313
"SE",28,"01702","Cristinápolis",18270
"BA",29,"24306","Piatã",18267
"RJ",33,"01207","Carmo",18264
"SC",42,"17808","Taió",18261
"PE",26,"16001","Venturosa",18258
"PA",15,"07979","Terra Santa",18257
"RJ",33,"04102","Porciúncula",18248
"MA",21,"11409","São Luís Gonzaga do Maranhão",18247
"BA",29,"03508","Belo Campo",18247
"MG",31,"04502","Arinos",18243
"CE",23,"13955","Varjota",18239
"BA",29,"08309","Conceição do Almeida",18229
"BA",29,"05404","Cairu",18224
"PB",25,"07705","Juazeirinho",18213
"BA",29,"24207","Pedro Alexandre",18209
"SP",35,"35606","Paraibuna",18206
"BA",29,"08705","Condeúba",18191
"AL",27,"04104","Lagoa da Canoa",18175
"MG",31,"37502","Lagoa Formosa",18175
"AC",12,"00708","Xapuri",18174
"SP",35,"39103","Pirapora do Bom Jesus",18174
"MT",51,"00300","Alto Araguaia",18164
"PB",25,"06806","Ingá",18163
"CE",23,"13005","Solonópole",18158
"MG",31,"37007","Ladainha",18152
"SP",35,"30201","Mirante do Paranapanema",18130
"MG",31,"17504","Conceição do Mato Dentro",18126
"PI",22,"08205","Pio IX",18125
"RJ",33,"02809","Mendes",18123
"SP",35,"32405","Nazaré Paulista",18121
"BA",29,"29602","Sapeaçu",18114
"SE",28,"01009","Campo do Brito",18111
"MS",50,"05681","Mundo Novo",18103
"PE",26,"04700","Correntes",18098
"TO",17,"02554","Augustinópolis",18089
"AL",27,"06802","Piaçabuçu",18074
"MG",31,"55801","Rio Pomba",18061
"MG",31,"15102","Cássia",18057
"CE",23,"01851","Banabuiú",18027
"BA",29,"23357","Ourolândia",18025
"MG",31,"44706","Nova Era",17994
"GO",52,"17708","Pontalina",17991
"AL",27,"05200","Messias",17988
"RJ",33,"04409","Rio Claro",17988
"AL",27,"01605","Canapi",17983
"BA",29,"07608","Central",17969
"PR",41,"06209","Contenda",17961
"CE",23,"06702","Jaguaretama",17958
"BA",29,"13101","Ibititá",17948
"AC",12,"00427","Rodrigues Alves",17945
"PB",25,"00700","São João do Rio do Peixe",17940
"RO",11,"00056","Cerejeiras",17934
"AM",13,"04104","Tapauá",17930
"MG",31,"50802","Piranga",17918
"AC",12,"00336","Mâncio Lima",17910
"MG",31,"08008","Bom Sucesso",17907
"PE",26,"13800","São Vicente Ferrer",17904
"SP",35,"24600","Jacupiranga",17900
"AC",12,"00351","Marechal Thaumaturgo",17897
"PR",41,"05201","Cerro Azul",17885
"BA",29,"31053","Tanque Novo",17884
"SP",35,"21705","Itaberá",17879
"CE",23,"04236","Croatá",17874
"MG",31,"48608","Peçanha",17871
"MA",21,"11805","Sítio Novo",17851
"PE",26,"08453","Lagoa do Carro",17847
"SC",42,"00101","Abelardo Luz",17847
"BA",29,"31301","Tapiramutá",17845
"PB",25,"02508","Boqueirão",17842
"AL",27,"00201","Anadia",17818
"SE",28,"02809","Indiaroba",17810
"SP",35,"44251","Rosana",17795
"MG",31,"61007","São Domingos do Prata",17787
"RJ",33,"05406","Sapucaia",17765
"BA",29,"07905","Cipó",17739
"MG",31,"54309","Resplendor",17715
"PA",15,"06161","Rio Maria",17705
"BA",29,"31806","Tremedal",17700
"PI",22,"08809","Regeneração",17698
"PB",25,"01906","Belém",17685
"CE",23,"02909","Capistrano",17668
"SP",35,"08801","Cafelândia",17645
"SP",35,"17604","Guapiara",17640
"PR",41,"15606","Matelândia",17640
"SP",35,"12308","Conchas",17638
"CE",23,"03402","Carnaubal",17631
"PR",41,"27403","Terra Roxa",17627
"SP",35,"23602","Itirapina",17589
"SP",35,"11607","Cesário Lange",17587
"MA",21,"04404","Gonçalves Dias",17586
"RN",24,"12609","São Paulo do Potengi",17572
